policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.4,0.36,795.0843384799418,0.21666567637444153,1.6783318346540521,1.0,7.0,0.525588411660188,0.42879048955829085
rsrp,1,1,0.34,0.28,837.5298457729727,0.1748474425882042,1.6926327942474895,1.0,7.0,0.5905522917517871,0.5390385604492798
rsrp,2,2,0.38,0.28,830.0807352622631,0.18218646772190822,1.6294821586538457,1.0,7.0,0.6792456882154804,0.5196902214604241
rsrp,3,3,0.3,0.3,804.2268097943431,0.20765831547355357,1.5515945148055668,1.0,7.0,0.5570599365846307,0.4525371682969953
rsrp,4,4,0.58,0.6,985.6628337260958,0.028903612092516497,1.1380224411206223,0.72,7.0,1.1121827407516234,0.9237995681197291
rsrp,5,5,0.52,0.5,800.7551357773923,0.2110786839631603,0.9276083282910926,1.0,7.0,0.5441987348649218,0.4435198331880318
rsrp,6,6,0.44,0.4,794.6405920257205,0.21710286499929016,1.621193025280503,1.0,7.0,0.4805596756542262,0.42763790136550794
rsrp,7,7,0.5,0.42,859.0649676733078,0.153630573720879,0.9310259884577519,1.0,7.0,0.6687020838420211,0.5949739420085921
rsrp,8,8,0.26,0.3,896.354764285997,0.11689185784630836,1.7631116730236192,1.0,7.0,0.8755022185502103,0.6918305565870052
rsrp,9,9,0.54,0.48,869.080232213974,0.14376331801578915,1.043444948657561,1.0,7.0,0.70622470431825,0.620987616140192
rsrp,10,10,0.6,0.58,896.6504046208893,0.11660058658040466,0.5594282301908887,1.0,7.0,0.7468517376920341,0.6925984535607511
rsrp,11,11,0.48,0.48,841.0274728511536,0.17140150458014428,0.9363471198228287,1.0,7.0,0.6373943331241327,0.5481233061068922
rsrp,12,12,0.46,0.5,803.7362381293326,0.20814163731100235,0.9143035477606986,1.0,7.0,0.5070171344676926,0.45126295618008466
rsrp,13,13,0.36,0.38,811.7207006473349,0.20027517177602477,1.7755597929746891,1.0,7.0,0.5676441503082373,0.4720018198632076
rsrp,14,14,0.38,0.4,872.2114675564942,0.14067835708719784,1.0215705440715113,1.0,7.0,0.7186721141664746,0.6291206949519329
rsrp,15,15,0.54,0.52,875.4713832844665,0.13746661745372762,1.0461338096392057,1.0,7.0,0.6924030824473599,0.6375880085310818
rsrp,16,16,0.22,0.26,847.7651389670408,0.16476340988468888,1.6204995967315219,1.0,7.0,0.6926236518300383,0.5656237375767297
rsrp,17,17,0.4,0.36,796.2901279547444,0.21547770644852765,1.605580070053641,1.0,7.0,0.5031464262181857,0.4319224102720636
