policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle
flat_mlp_search,0.9494047619047619,191.8428828806451,65.625,257.4678828806451,0.810992233615128,0.7463370612013348,-0.0012093288961134777,0.34327415141104195,1.0,1.2083333333333333,1.875,0.9166666666666666,0.9583333333333334,0.6129557885720933,0.010250047720077793
attn_ml_gcn_search,0.9474206349206349,191.94023995261662,65.625,257.56523995261665,0.8108963153176191,0.7462411429038259,-0.0008249090209905588,0.34365857128616484,1.0,1.2083333333333333,1.875,0.9166666666666666,0.9583333333333334,0.613984171787397,0.010632056479790685
ml_gcn_search,0.9474206349206349,191.94023995261662,65.625,257.56523995261665,0.8108963153176191,0.7462411429038259,-0.0008249090209905588,0.34365857128616484,1.0,1.2083333333333333,1.875,0.9166666666666666,0.9583333333333334,0.613984171787397,0.010632056479790685
agg_gcn_search,0.9265873015873015,192.0233528662304,65.625,257.64835286623037,0.8108144306736645,0.7461592582598716,-0.0004967823733663326,0.34398669793378905,1.0,1.2083333333333333,1.875,0.9166666666666666,0.9583333333333334,0.6146008453649308,0.010958174145438858
oracle,1.0,192.147267477274,62.708333333333336,254.85560081060734,0.8106923473130306,0.7489107381176282,0.0,0.3329949439683248,1.0,1.2083333333333333,1.7916666666666667,0.875,0.9166666666666666,0.6139960717661571,2.2304167018503346e-16
agg_gcn_stable_search,0.548611111111111,201.5178255746081,21.875,223.39282557460817,0.8014602703698442,0.7799085462319132,0.050185051449722205,0.16532927335647613,1.0,1.2916666666666667,0.625,0.2916666666666667,0.3333333333333333,0.626920813054252,-0.12345334038540624
flat_mlp_stable_search,0.5555555555555556,202.3970763500217,18.958333333333332,221.35540968335502,0.8005940134482544,0.7819158525287143,0.055092008259458154,0.1555026104473727,1.0,1.2916666666666667,0.5416666666666666,0.25,0.2916666666666667,0.6373027853065905,-0.1314477336213125
attn_ml_gcn_stable_search,0.5555555555555556,202.50735891047736,18.958333333333332,221.4656922438107,0.8004853606793326,0.7818071997597924,0.05578937639141212,0.1561999785793267,1.0,1.2916666666666667,0.5416666666666666,0.25,0.2916666666666667,0.639666914764302,-0.1310150079519338
ml_gcn_stable_search,0.5555555555555556,202.50735891047736,18.958333333333332,221.4656922438107,0.8004853606793326,0.7818071997597924,0.05578937639141212,0.1561999785793267,1.0,1.2916666666666667,0.5416666666666666,0.25,0.2916666666666667,0.639666914764302,-0.1310150079519338
flat_mlp_pruned,0.4851190476190476,206.37468816349931,58.333333333333336,264.70802149683266,0.7966751840753701,0.7392039197075541,0.07534822692900216,0.37895416173798996,1.0,1.375,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.5661392299055794,0.03865883525764487
ml_gcn_pruned,0.4871031746031746,210.12037932168653,61.25,271.3703793216865,0.7929848479589295,0.7326400203727226,0.09595958738249694,0.42288602471615827,1.0,1.4166666666666667,1.75,0.875,0.875,0.5566127730678648,0.06480053198184171
attn_ml_gcn_pruned,0.4880952380952381,210.14903185770345,61.25,271.39903185770345,0.7929566188594054,0.7326117912731985,0.09611227320848338,0.4230387105421447,1.0,1.4166666666666667,1.75,0.875,0.875,0.556615164377448,0.06491295853211483
ml_gcn,0.4871031746031746,210.68936905693715,61.25,271.93936905693715,0.7924242669389782,0.7320794393527712,0.09896441092365928,0.42589084825732054,1.0,1.4166666666666667,1.75,0.875,0.875,0.5619159681313001,0.06703312853236235
attn_ml_gcn,0.4880952380952381,210.71802159295407,61.25,271.9680215929541,0.792396037839454,0.7320512102532472,0.09911709674964574,0.42604353408330703,1.0,1.4166666666666667,1.75,0.875,0.875,0.5619183594408832,0.06714555508263546
flat_mlp,0.4255952380952381,210.98046184330576,64.16666666666667,275.14712850997245,0.7921374760164475,0.7289190852118499,0.09976627908655618,0.43519736133103165,1.0,1.4166666666666667,1.8333333333333333,0.9166666666666666,0.9166666666666666,0.5624015962722865,0.07961970478508162
agg_gcn_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965
attn_ml_gcn_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965
flat_mlp_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965
ml_gcn_stable,0.4037698412698412,211.3654949329324,29.166666666666668,240.53216159959905,0.7917581330710025,0.7630225008870944,0.1025249765878129,0.25224118023785164,1.0,1.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.5736646359985701,-0.05620217552782965
agg_gcn_pruned,0.47321428571428575,213.11410965515984,61.25,274.36410965515984,0.7900353599456552,0.7296905323594484,0.11443575121254122,0.441802325717112,1.0,1.4583333333333333,1.75,0.875,0.875,0.5371604046702788,0.07654730279618242
agg_gcn,0.4156746031746032,217.39374330945682,70.0,287.39374330945685,0.7858189721089096,0.7168534548675303,0.13743257082113225,0.5125494601683835,1.0,1.5,2.0,1.0,1.0,0.5295375844200031,0.12767285629727979
greedy_sleep,0.1984126984126984,225.8298056601196,90.41666666666667,316.2464723267862,0.777507580630424,0.6884271208603091,0.1902129468419308,0.669773493898028,1.0,1.625,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4824304531577592,0.2408849219750943
load_sleep,0.1984126984126984,225.8298056601196,90.41666666666667,316.2464723267862,0.777507580630424,0.6884271208603091,0.1902129468419308,0.669773493898028,1.0,1.625,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4824304531577592,0.2408849219750943
rsrp_sleep,0.2222222222222222,241.54839163860652,93.33333333333333,334.88172497193983,0.7620212890260034,0.6700672660374977,0.27571732929875625,0.7795642000795661,1.0,1.8333333333333333,2.6666666666666665,1.4166666666666667,1.25,0.4493582223488201,0.31400575034175116
