policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,374.1557727876485,0.6313736228693119,0.0,1.0,2.55,0.8105197550854711
attn_ml_gcn_pruned,0.6559999999999999,393.9695626940171,0.6118526475921013,0.06072586221650593,1.0,2.65,0.869003327359286
ml_gcn_pruned,0.6559999999999999,393.9695626940171,0.6118526475921013,0.06072586221650593,1.0,2.65,0.869003327359286
greedy_sleep,0.633,399.73630503233466,0.6061711280469609,0.07621851308788927,1.0,2.75,0.8178895371712231
load_sleep,0.633,399.73630503233466,0.6061711280469609,0.07621851308788927,1.0,2.75,0.8178895371712231
agg_gcn_pruned,0.5900000000000001,400.62776654124326,0.6052928408460657,0.074765132206856,1.0,2.7,0.8642100632221263
flat_mlp_pruned,0.592,408.14711981042853,0.5978846110242084,0.10046445701078484,1.0,2.8,0.8249522593317193
attn_ml_gcn,0.575,457.04016336419045,0.5497141247643443,0.24586763251833968,1.0,3.25,0.8010075637348079
ml_gcn,0.575,457.04016336419045,0.5497141247643443,0.24586763251833968,1.0,3.25,0.8010075637348079
flat_mlp,0.522,463.52566772940315,0.5433244652912284,0.25709120827185794,1.0,3.25,0.8241167059758352
agg_gcn,0.52,463.59440849359714,0.5432567404003968,0.2597049705962553,1.0,3.3,0.7973288511094463
rsrp_sleep,0.61,424.6994609684667,0.5815768857453529,0.130833992846985,0.99,3.0,0.7920279428723209
sinr_sleep,0.61,424.6994609684667,0.5815768857453529,0.130833992846985,0.99,3.0,0.7920279428723209
rsrp,0.41,834.1130050689804,0.178213788109379,1.2921093266216912,0.99,7.0,0.6562583820972296
sinr,0.41,834.1130050689804,0.178213788109379,1.2921093266216912,0.99,7.0,0.6562583820972296
load_aware,0.402,847.5880745442655,0.16493785759185658,1.3248324915529994,0.99,7.0,0.6612193040906028
