policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.3,0.28,765.397685797682,0.2459136100515448,1.450788629360593,1.0,7.0,0.5078331021009339,0.35168230077319995
rsrp,1,1,0.38,0.4,875.6140693875861,0.1373260400122304,1.0552980406160746,1.0,7.0,0.7659181080967793,0.637958621785938
rsrp,2,2,0.48,0.42,862.6726819203627,0.15007617544791851,1.023993743495304,1.0,7.0,0.9000297980987819,0.6043446283645786
rsrp,3,3,0.5,0.5,880.3439113499196,0.13266609719219744,0.9872635420458334,1.0,7.0,0.7834254544938191,0.650243925584207
rsrp,4,4,0.38,0.4,845.1891913635502,0.16730128929699487,0.9035773804590855,1.0,7.0,0.6115946157924483,0.5589329645806499
rsrp,5,5,0.42,0.38,932.2538462888201,0.0815233041489457,1.8652206407769107,1.0,7.0,0.9593325068613255,0.7850749254255065
rsrp,6,6,0.32,0.3,809.4639296476724,0.20249859148012567,1.5371843325432542,1.0,7.0,0.5433806729026963,0.4661400770069416
rsrp,7,7,0.34,0.3,809.9717782834372,0.20199824799661362,1.5741987438280192,1.0,7.0,0.5126161644590107,0.4674591643725643
rsrp,8,8,0.4,0.4,875.8644846196033,0.13707932549792776,1.0224452493058904,1.0,7.0,0.7489097626967901,0.6386090509600084
rsrp,9,9,0.4,0.34,859.432615984754,0.15326835863571037,1.6606281552608344,1.0,7.0,0.7386963597974281,0.5959288726876725
rsrp,10,10,0.34,0.32,745.376839140714,0.2656385821273754,1.368068116772447,1.0,7.0,0.39826726629282017,0.29968010166419184
rsrp,11,11,0.3,0.18,835.7169686428421,0.1766335284306975,1.6894091274598932,1.0,7.0,0.7121280152221051,0.5343297886827066
rsrp,12,12,0.42,0.36,842.9880829101842,0.16946986905400574,1.7977345946878704,1.0,7.0,0.6487996162121992,0.5532157997667124
rsrp,13,13,0.52,0.46,814.1641498602266,0.197867832650023,0.8371625189143794,1.0,7.0,0.650199293338254,0.4783484411953941
rsrp,14,14,0.5,0.38,797.0049790399545,0.21477341966506946,1.8123518740071682,1.0,7.0,0.5558695450603577,0.43377916633754415
rsrp,15,15,0.4,0.36,783.2726040272896,0.22830285317508411,1.7969695604936402,1.0,7.0,0.46898502237470735,0.3981106598111414
rsrp,16,16,0.28,0.28,820.9472978920136,0.1911849281852083,1.5580211098533743,1.0,7.0,0.6540313837070384,0.4959670075117238
rsrp,17,17,0.48,0.52,848.9159531031319,0.16362960285405728,0.9745334203551125,1.0,7.0,0.6406774100562624,0.56861286520294
rsrp,18,18,0.56,0.52,790.7030668987393,0.22098220009976427,0.9142454118773409,1.0,7.0,0.5396540295734549,0.4174105633733487
rsrp,19,19,0.34,0.34,790.943148756658,0.220745666249598,1.4245178652416117,1.0,7.0,0.519146337769007,0.41803415261469606
sinr,0,0,0.3,0.28,765.397685797682,0.2459136100515448,1.450788629360593,1.0,7.0,0.5078331021009339,0.35168230077319995
sinr,1,1,0.38,0.4,875.6140693875861,0.1373260400122304,1.0552980406160746,1.0,7.0,0.7659181080967793,0.637958621785938
sinr,2,2,0.48,0.42,862.6726819203627,0.15007617544791851,1.023993743495304,1.0,7.0,0.9000297980987819,0.6043446283645786
sinr,3,3,0.5,0.5,880.3439113499196,0.13266609719219744,0.9872635420458334,1.0,7.0,0.7834254544938191,0.650243925584207
sinr,4,4,0.38,0.4,845.1891913635502,0.16730128929699487,0.9035773804590855,1.0,7.0,0.6115946157924483,0.5589329645806499
sinr,5,5,0.42,0.38,932.2538462888201,0.0815233041489457,1.8652206407769107,1.0,7.0,0.9593325068613255,0.7850749254255065
sinr,6,6,0.32,0.3,809.4639296476724,0.20249859148012567,1.5371843325432542,1.0,7.0,0.5433806729026963,0.4661400770069416
sinr,7,7,0.34,0.3,809.9717782834372,0.20199824799661362,1.5741987438280192,1.0,7.0,0.5126161644590107,0.4674591643725643
sinr,8,8,0.4,0.4,875.8644846196033,0.13707932549792776,1.0224452493058904,1.0,7.0,0.7489097626967901,0.6386090509600084
sinr,9,9,0.4,0.34,859.432615984754,0.15326835863571037,1.6606281552608344,1.0,7.0,0.7386963597974281,0.5959288726876725
sinr,10,10,0.34,0.32,745.376839140714,0.2656385821273754,1.368068116772447,1.0,7.0,0.39826726629282017,0.29968010166419184
sinr,11,11,0.3,0.18,835.7169686428421,0.1766335284306975,1.6894091274598932,1.0,7.0,0.7121280152221051,0.5343297886827066
sinr,12,12,0.42,0.36,842.9880829101842,0.16946986905400574,1.7977345946878704,1.0,7.0,0.6487996162121992,0.5532157997667124
sinr,13,13,0.52,0.46,814.1641498602266,0.197867832650023,0.8371625189143794,1.0,7.0,0.650199293338254,0.4783484411953941
sinr,14,14,0.5,0.38,797.0049790399545,0.21477341966506946,1.8123518740071682,1.0,7.0,0.5558695450603577,0.43377916633754415
sinr,15,15,0.4,0.36,783.2726040272896,0.22830285317508411,1.7969695604936402,1.0,7.0,0.46898502237470735,0.3981106598111414
sinr,16,16,0.28,0.28,820.9472978920136,0.1911849281852083,1.5580211098533743,1.0,7.0,0.6540313837070384,0.4959670075117238
sinr,17,17,0.48,0.52,848.9159531031319,0.16362960285405728,0.9745334203551125,1.0,7.0,0.6406774100562624,0.56861286520294
sinr,18,18,0.56,0.52,790.7030668987393,0.22098220009976427,0.9142454118773409,1.0,7.0,0.5396540295734549,0.4174105633733487
sinr,19,19,0.34,0.34,790.943148756658,0.220745666249598,1.4245178652416117,1.0,7.0,0.519146337769007,0.41803415261469606
load_aware,0,0,0.28,0.28,773.804533678694,0.23763100130177928,1.4777071941509685,1.0,7.0,0.5078331021009339,0.3735182692953091
load_aware,1,1,0.4,0.4,889.2221552066212,0.1239190589097328,1.0872398207886564,1.0,7.0,0.7659181080967793,0.6733042992379771
load_aware,2,2,0.42,0.42,882.698881259573,0.13034592979352413,1.0709790057135564,1.0,7.0,0.8722973444768563,0.6563607305443455
load_aware,3,3,0.48,0.48,891.3423479307337,0.12183019908302099,1.0120911029055886,1.0,7.0,0.760096589047075,0.6788112933265813
load_aware,4,4,0.4,0.4,845.1891913635502,0.16730128929699487,0.9035773804590855,1.0,7.0,0.6115946157924483,0.5589329645806499
load_aware,5,5,0.38,0.38,964.7181300481669,0.049538788129884805,1.9649974733269817,1.0,7.0,0.9593325068613255,0.869397740384849
