policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.7666666666666667,0.7777777777777778,948.233758287688,0.06577954848503642,0.3309691765736997,1.0,7.0,0.9339246194458405,0.8265811903576311
rsrp,1,1,0.7222222222222222,0.7,959.5183326626611,0.05466174121905308,0.31863604651295246,1.0,7.0,0.9089177149254972,0.8558917731497692
rsrp,2,2,0.6777777777777778,0.7666666666666667,980.0896516974126,0.03439443182520927,0.1553049348375041,1.0,7.0,0.9716549671376338,0.90932377064263
rsrp,3,3,0.7333333333333333,0.7444444444444445,910.0203262393493,0.10342825001049331,0.26113315794377556,1.0,7.0,0.8462710996206876,0.7273255226996085
rsrp,4,4,0.4888888888888889,0.45555555555555555,874.0933300768979,0.1388243053429577,0.9301531878435133,1.0,7.0,0.6887837203475012,0.6340086495503839
rsrp,5,5,0.6222222222222222,0.5444444444444444,944.8048069521856,0.06915782566287136,0.5968621426779096,1.0,7.0,0.8632221886029066,0.81767482325243
rsrp,6,6,0.24444444444444444,0.26666666666666666,1102.9771835094366,-0.08667702808811488,2.085250862963459,0.0,7.0,1.3187462645435164,1.2547352340991063
rsrp,7,7,0.6666666666666666,0.7,940.0432496178748,0.07384901515480312,0.2893008979360786,1.0,7.0,0.8576173645210421,0.80530714186461
rsrp,8,8,0.7777777777777778,0.8111111111111111,942.8322636430753,0.0711012180856401,0.11274899182419625,1.0,7.0,0.9611304670277507,0.812551334137858
rsrp,9,9,0.7,0.6777777777777778,875.2519323620835,0.13768282525903103,0.49411307701273427,1.0,7.0,0.7846001159136673,0.6370180061352819
rsrp,10,10,0.37777777777777777,0.37777777777777777,1012.1077101542018,0.0028495466461066457,1.8310705179138511,0.4222222222222222,7.0,1.0246218480415945,0.9924875588420825
rsrp,11,11,0.5555555555555556,0.5222222222222223,855.9376461521135,0.15671167866786845,0.9058135263236654,1.0,7.0,0.6474720304122268,0.5868510289665284
sinr,0,0,0.7666666666666667,0.7777777777777778,948.233758287688,0.06577954848503642,0.3309691765736997,1.0,7.0,0.9339246194458405,0.8265811903576311
sinr,1,1,0.7222222222222222,0.7,959.5183326626611,0.05466174121905308,0.31863604651295246,1.0,7.0,0.9089177149254972,0.8558917731497692
sinr,2,2,0.6777777777777778,0.7666666666666667,980.0896516974126,0.03439443182520927,0.1553049348375041,1.0,7.0,0.9716549671376338,0.90932377064263
sinr,3,3,0.7333333333333333,0.7444444444444445,910.0203262393493,0.10342825001049331,0.26113315794377556,1.0,7.0,0.8462710996206876,0.7273255226996085
sinr,4,4,0.4888888888888889,0.45555555555555555,874.0933300768979,0.1388243053429577,0.9301531878435133,1.0,7.0,0.6887837203475012,0.6340086495503839
sinr,5,5,0.6222222222222222,0.5444444444444444,944.8048069521856,0.06915782566287136,0.5968621426779096,1.0,7.0,0.8632221886029066,0.81767482325243
sinr,6,6,0.24444444444444444,0.26666666666666666,1102.9771835094366,-0.08667702808811488,2.085250862963459,0.0,7.0,1.3187462645435164,1.2547352340991063
sinr,7,7,0.6666666666666666,0.7,940.0432496178748,0.07384901515480312,0.2893008979360786,1.0,7.0,0.8576173645210421,0.80530714186461
sinr,8,8,0.7777777777777778,0.8111111111111111,942.8322636430753,0.0711012180856401,0.11274899182419625,1.0,7.0,0.9611304670277507,0.812551334137858
sinr,9,9,0.7,0.6777777777777778,875.2519323620835,0.13768282525903103,0.49411307701273427,1.0,7.0,0.7846001159136673,0.6370180061352819
sinr,10,10,0.37777777777777777,0.37777777777777777,1012.1077101542018,0.0028495466461066457,1.8310705179138511,0.4222222222222222,7.0,1.0246218480415945,0.9924875588420825
sinr,11,11,0.5555555555555556,0.5222222222222223,855.9376461521135,0.15671167866786845,0.9058135263236654,1.0,7.0,0.6474720304122268,0.5868510289665284
load_aware,0,0,0.7444444444444445,0.7444444444444445,957.5670728914615,0.05658416463895417,0.34406969524255604,1.0,7.0,0.905791950196564,0.850823565951848
load_aware,1,1,0.7111111111111111,0.7111111111111111,964.6757954568836,0.049580497086814154,0.3257237863898332,1.0,7.0,0.9089177149254972,0.8692877804074898
load_aware,2,2,0.7555555555555555,0.7555555555555555,989.0720765082901,0.025544752208581146,0.16589319040457495,1.0,7.0,0.9821711733140285,0.9326547441773769
load_aware,3,3,0.7333333333333333,0.7333333333333333,917.9672318303132,0.0955987863740757,0.2721462154050628,1.0,7.0,0.8070550983872046,0.7479668359228911
load_aware,4,4,0.4666666666666667,0.4666666666666667,876.8877402536752,0.13607119186830025,0.9363237414048527,1.0,7.0,0.6866715199987278,0.6412668578017541
load_aware,5,5,0.5333333333333333,0.5333333333333333,947.4866064429557,0.06651565867689095,0.601394786933688,1.0,7.0,0.8532258312032651,0.8246405362154695
load_aware,6,6,0.26666666666666666,0.26666666666666666,1102.9771835094366,-0.08667702808811488,2.085250862963459,0.0,7.0,1.3187462645435164,1.2547352340991063
load_aware,7,7,0.6666666666666666,0.6666666666666666,959.0748894219428,0.05509863111138643,0.3154034313020224,1.0,7.0,0.8964472158290339,0.8547399725245267
load_aware,8,8,0.8111111111111111,0.8111111111111111,953.5014350138963,0.060589719198131727,0.12534095557457448,1.0,7.0,0.9729724376911698,0.8402634675685621
load_aware,9,9,0.6444444444444445,0.6444444444444445,892.1712786822842,0.12101351853962149,0.5229955229198189,1.0,7.0,0.7516121829518762,0.6809643602137251
load_aware,10,10,0.36666666666666664,0.36666666666666664,1048.993319105925,-0.033490954784162474,1.9342470464501396,0.13333333333333333,7.0,1.219689289226524,1.0882943353400645
load_aware,11,11,0.5,0.5,859.2490409217526,0.15344922076674625,0.9131866112339346,1.0,7.0,0.6407677721432875,0.5954520543422144
oracle,0,0,1.0,1.0,712.4385560368246,0.29809009257455704,0.0,1.0,5.0,0.9616957882342153,0.8961402037702708
oracle,1,1,1.0,1.0,727.6597171752169,0.2830938747042198,0.0,1.0,5.0,0.9724864110946725,0.9514898806371525
oracle,2,2,1.0,1.0,848.3384967409181,0.1641985253784058,0.0,1.0,6.0,0.9523728490123166,0.9101166567906609
oracle,3,3,1.0,1.0,721.5894059300598,0.28907447691619725,0.0,1.0,5.0,0.9868038676473365,0.929416021563854
oracle,4,4,1.0,1.0,452.86215393788984,0.5538303902089755,0.0,1.0,3.0,0.9296031810473958,0.9143160844720599
oracle,5,5,1.0,1.0,591.6633513321098,0.4170804420373303,0.0,1.0,4.0,0.9570681729987754,0.9439243242368628
oracle,6,6,1.0,1.0,357.5,0.6477832512315271,0.0,0.0,2.0,2.168470539122991,2.130273305340639
oracle,7,7,1.0,1.0,729.1108313991732,0.28166420551805593,0.0,1.0,5.0,0.993198374235512,0.956766659633357
oracle,8,8,1.0,1.0,847.3000385265987,0.16522163691960723,0.0,1.0,6.0,0.9351678569051491,0.9069698137169655
oracle,9,9,1.0,1.0,585.8003291906291,0.4228568185313999,0.0,1.0,4.0,0.9621020827146965,0.9172742235937683
oracle,10,10,1.0,1.0,357.5,0.6477832512315271,0.0,0.0,2.0,2.544509956401514,2.5302844671503752
oracle,11,11,1.0,1.0,449.119304868838,0.557517926237598,0.0,1.0,3.0,0.9005502149819635,0.8916321507202305
ml_gcn,0,0,0.6777777777777778,0.7777777777777778,945.9513471689532,0.06802822939019385,0.32776551627289924,1.0,7.0,0.913692177706709,0.8206528497894888
ml_gcn,1,1,0.6666666666666666,0.7888888888888889,853.0632256201739,0.15954362007864645,0.17233812108189084,1.0,6.0,0.9747214427773779,0.92443401703083
ml_gcn,2,2,0.5777777777777777,0.8888888888888888,845.1158986485667,0.1673734988684072,-0.0037987172628988724,1.0,6.0,0.9351194956395943,0.9003512080259598
ml_gcn,3,3,0.6777777777777778,0.8222222222222222,839.5823917647593,0.17282522978841444,0.16351817926514298,1.0,6.0,0.9560845647950904,0.8835830053477554
ml_gcn,4,4,0.5555555555555556,0.7333333333333333,550.8400644595903,0.45730042910385194,0.21635261341608628,1.0,4.0,0.8080892114383457,0.7583639293617739
ml_gcn,5,5,0.7666666666666667,0.9222222222222223,581.9400608291403,0.42666003859198,-0.016433822512545024,1.0,4.0,0.9225523394088903,0.899727549223365
ml_gcn,6,6,0.2222222222222222,0.26666666666666666,1111.25,-0.09482758620689655,2.1083916083916083,0.0,7.0,1.5176005603875578,1.3935198575063943
ml_gcn,7,7,0.4777777777777778,0.7888888888888889,833.7589978786849,0.17856256366632028,0.14352847601878374,1.0,6.0,0.9627203526519487,0.8659363572081361
ml_gcn,8,8,0.3333333333333333,0.6777777777777778,858.7368183380919,0.15395387355853016,0.013497910175220902,1.0,6.0,0.9888757590095353,0.9416267222366419
ml_gcn,9,9,0.7555555555555555,0.8666666666666667,698.0923849116812,0.3122242513185407,0.19168998398515816,1.0,5.0,0.8991680593791437,0.8439723087697498
ml_gcn,10,10,0.45555555555555555,0.3888888888888889,1034.6845712575298,-0.019393666263576154,1.8942225769441392,0.12222222222222222,7.0,1.1229382819440374,1.0511287565130638
ml_gcn,11,11,0.6555555555555556,0.6333333333333333,656.040667048967,0.35365451522269264,0.46072693811404697,1.0,5.0,0.7452898489391008,0.6910569710871525
