policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,15,15,0.44,0.4,782.8932763397114,0.2286765750347671,1.636978005011405,1.0,7.0,0.4759035350240549,0.39712539309015943
rsrp,16,16,0.56,0.5,880.3176403714749,0.13269197992958137,0.9494082508399418,1.0,7.0,0.7486809783120005,0.6501756892765583
rsrp,17,17,0.54,0.52,826.8611942189847,0.1853584293409018,0.8372140954476208,1.0,7.0,0.6008259184637808,0.5113277771921679
rsrp,18,18,0.46,0.38,832.5424031936495,0.1797611791195571,1.713186007424656,1.0,7.0,0.6415260046286622,0.5260841641393496
rsrp,19,19,0.42,0.36,851.4075465629003,0.16117483097251203,1.6432646167929126,1.0,7.0,0.6636470004105174,0.5750845365270137
sinr,0,0,0.32,0.28,822.3862665506196,0.18976722507328123,1.5177927736214356,1.0,7.0,0.6250529794942382,0.49970458844316795
sinr,1,1,0.4,0.42,845.2473532213043,0.1672439869740845,0.9507463861207347,1.0,7.0,0.6689262344860286,0.5590840343410501
sinr,2,2,0.24,0.22,789.9023372391722,0.2217710963160865,1.762166388070387,1.0,7.0,0.4794810208811281,0.415330746075772
sinr,3,3,0.4,0.44,813.964110485331,0.19806491577799898,0.9571858654065362,1.0,7.0,0.5215336762338917,0.47782885840345735
sinr,4,4,0.48,0.36,910.568573647964,0.10288810478033109,1.114560886039328,1.0,7.0,0.7881477376259879,0.7287495419427634
sinr,5,5,0.58,0.5,886.4365526236147,0.12666349495210372,0.5513216651615624,1.0,7.0,0.7888176167293637,0.6660689678535447
sinr,6,6,0.64,0.58,908.8846363532807,0.10454715630218649,0.5944761052151075,1.0,7.0,0.8753717453358253,0.7243756788396903
sinr,7,7,0.34,0.32,785.068371603262,0.2265336240361951,1.4293843648247422,1.0,7.0,0.5831673167706698,0.40277499117730403
sinr,8,8,0.62,0.58,916.5681782124407,0.09697716432271855,1.0123664442295488,0.9,7.0,1.1610648289418735,0.7443329304219242
sinr,9,9,0.24,0.3,763.4626832702527,0.24782001648250968,1.456096370237757,1.0,7.0,0.45427813382603777,0.34665632018247433
sinr,10,10,0.46,0.4,769.9082013908369,0.24146975232429863,1.6548367434465012,1.0,7.0,0.4928733597752801,0.36339792569048546
sinr,11,11,0.28,0.26,791.0926214049853,0.22059840255666477,1.5637277057056842,1.0,7.0,0.5539218855433142,0.4184223932597018
sinr,12,12,0.46,0.48,878.3001526968402,0.13467965251542838,0.970347013849569,1.0,7.0,0.7379931189537756,0.6449354615502342
sinr,13,13,0.26,0.22,777.1680532888792,0.23431718887795158,1.546792404486331,1.0,7.0,0.43036510112453197,0.38225468386721867
sinr,14,14,0.52,0.46,833.5156609963881,0.17880230443705608,0.9049982829726885,1.0,7.0,0.8503257858630487,0.5286121064841252
sinr,15,15,0.44,0.4,782.8932763397114,0.2286765750347671,1.636978005011405,1.0,7.0,0.4759035350240549,0.39712539309015943
sinr,16,16,0.56,0.5,880.3176403714749,0.13269197992958137,0.9494082508399418,1.0,7.0,0.7486809783120005,0.6501756892765583
sinr,17,17,0.54,0.52,826.8611942189847,0.1853584293409018,0.8372140954476208,1.0,7.0,0.6008259184637808,0.5113277771921679
sinr,18,18,0.46,0.38,832.5424031936495,0.1797611791195571,1.713186007424656,1.0,7.0,0.6415260046286622,0.5260841641393496
